Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0402_1005Metric",126.6190,-104.2670,0.0000,bottom
"C2","100nF","C_0402_1005Metric",133.4770,-95.3770,180.0000,bottom
"C3","100nF","C_0402_1005Metric",137.7696,-97.1296,90.0000,bottom
"C4","100nF","C_0402_1005Metric",136.2202,-95.3262,0.0000,bottom
"C5","1uF","C_0402_1005Metric",146.0754,-106.1212,90.0000,bottom
"C6","1uF","C_0402_1005Metric",143.3322,-94.3864,-90.0000,bottom
"C7","1uF","C_0402_1005Metric",140.2080,-105.4100,-90.0000,bottom
"C8","1uF","C_0402_1005Metric",137.9220,-94.6150,-90.0000,bottom
"C9","100nF","C_0402_1005Metric",137.4140,-102.1080,-90.0000,bottom
"C10","100nF","C_0402_1005Metric",132.7150,-101.6000,0.0000,bottom
"C11","10uF","C_0402_1005Metric",147.1930,-106.1212,-90.0000,bottom
"C12","100nF","C_0402_1005Metric",140.2080,-103.1240,90.0000,bottom
"C13","100nF","C_0402_1005Metric",144.5260,-102.9462,-90.0000,bottom
"D1","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",146.6850,-94.2340,0.0000,bottom
"D2","BZX585-B5V6.115","D_SOD-523",149.7838,-94.2340,0.0000,bottom
"FID1","Fiducial","Fiducial_1mm_Mask2mm",128.5240,-94.2086,180.0000,bottom
"FID2","Fiducial","Fiducial_1mm_Mask2mm",149.8854,-106.0450,180.0000,bottom
"J1","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",148.6660,-100.1960,-90.0000,bottom
"R1","75R","R_0402_1005Metric",141.4780,-102.9970,-90.0000,bottom
"R2","2k7","R_0402_1005Metric",143.3830,-102.9970,-90.0000,bottom
"R3","2k7","R_0402_1005Metric",139.8016,-97.7392,0.0000,bottom
"R4","10k","R_0402_1005Metric",138.5570,-99.4410,-90.0000,bottom
"R5","10k","R_0402_1005Metric",138.5570,-101.6000,90.0000,bottom
"R6","10k","R_0402_1005Metric",127.0000,-105.9180,-90.0000,bottom
"R7","10k","R_0402_1005Metric",128.3970,-104.6500,90.0000,bottom
"R8","10k","R_0402_1005Metric",138.0490,-104.9020,180.0000,bottom
"R9","10k","R_0402_1005Metric",138.0490,-103.7590,180.0000,bottom
"R10","2k7","R_0402_1005Metric",123.3170,-104.3940,90.0000,bottom
"R11","75R","R_0402_1005Metric",142.6210,-97.6884,180.0000,bottom
"R12","180R","R_0402_1005Metric",144.8562,-96.1390,-90.0000,bottom
"U1","SDP3x","SDP3x",127.0660,-99.5460,180.0000,bottom
"U2","ICM-20948","InvenSense_QFN-24_3x3mm_P0.4mm",134.8740,-98.1710,0.0000,bottom
"U3","PCA9617A","TSSOP-8_3x3mm_P0.65mm",133.7310,-104.1400,180.0000,bottom
"U4","MIC5504-3.3YM5-TR","SOT-23-5",143.2560,-105.6640,180.0000,bottom
"U5","MIC5504-1.8YM5-TR","SOT-23-5",140.5890,-94.8690,180.0000,bottom
"U6","PCA9617A","TSSOP-8_3x3mm_P0.65mm",142.3670,-100.2030,0.0000,bottom
